drawing_id,drawing_number,drawing_name,spare_part_number,parsed_part_numbers
255,E-5219,12 TOOTH DRIVE GEAR,A143567,['A143567']
1856,B-5347-17-427,ADJUSTABLE SLIDE STOP,A143539,['A143539']
3745,E-5365-10-19,BAG MAKER PRINT STATION PAD,A150236,['A150236']
5751,E-5088-12-62,BUFFER PLATE PERIMETER STATION PART FILL (USED ON FAB 5 & FAB 16),A108452,['A108452']
5784,B-5286-8-104,BULLET SLEEVE,A129020,['A129020']
6042,B-5413-04-02,CAMBOT ARM,A130708,['A130708']
6327,E-11221-4,CARTON LIFTER SECTION,AA127445,['AA127445']
6328,B-11221-5,CARTON LIFTER SECTION,AA127716,['AA127716']
6329,E-11221-6,CARTON LIFTER SECTION,AA127718,['AA127718']
6558,B-11416-2,CHEMICAL INDICATOR HOLDER-NARROW TOP,A141801,['A141801']
6559,B-11416-1,CHEMICAL INDICATOR HOLDER-WIDE TOP,A141802,['A141802']
7164,B-5088-28-20,COLLAR (SPACER),A129316,['A129316']
10695,B-5365-12-17,DRIVE ROLLER,A150235,['A150235']
10698,B-5358-16-10,DRIVE ROLLER,A150238,['A150238']
10701,B-5358-92-04,DRIVE ROLLER,A132780,['A132780']
13442,B-6221,FAB #7 - FAB #11 ONLY TYPEHOLDER,A151518,['A151518']
14374,E-7193-1,FMC CURTAIN ROD TOP HEAD,A116261,['A116261']
14558,B-5117-76-15,FOWLER MODIFIED,A143372,['A143372']
15308,B-5347-17-464,GRIPPER FINGER - REAR PRE ALIGNER,A143538,['A143538']
17964,B-5088-2-45-2-5,"INSERT, FINGER CAM",AA138768,['AA138768']
18213,B-5345-32-91,IRRIGATION BAG MAKER 3 UP PRESSURE ROLLER,A150237,['A150237']
20325,B-5412$2,"LIFECARE, IRRIGATION & VISIV, PRINT SLUGS",A119869,['A119869']
21352,H-MD-5283,MAIN ASSEMBLY,A`,['A`']
21651,E-5088-165-11,MANDREL BLOCK 250M.L. L.C. 2A BAGMAKER 150/250,A106631,['A106631']
22270,K-MD-9218,MINOR ADD HOPPER BAG ASSEMBLY,A143367,['A143367']
24372,B-8418,PACKOUT VISUAL INDICATOR,A143324,['A143324']
25130,E-5398-8-2,PERIMETER DIE POD,A126870,['A126870']
25131,K-10117-1,PERIMETER DIE POD LIFE CARE II 500ML 10 DEGREE AUSTIN,A142717,['A142717']
25967,B-11221-3,"PLATE SPRING 3/8"", PLUG VIBRATOR",AA126313,['AA126313']
25968,B-11221-2,"PLATE SPRING, 1/4"", O-RING BOWL",AA126309,['AA126309']
26433,K-5108-7-3,POCKET INSERT #2,A138166,['A138166']
26860,B-5358-17-9,PRINT PAD,A128957,['A128957']
27563,B-5335-6-24,QUICK CHANGE TYPEHOLDER,A143785,['A143785']
28941,B-MD-5109-6-39,ROLLER PIN,A100974,['A100974']
28957,B-5088-2-44-07,"ROLLER ROD, .375 DIA.",A120584,['A120584']
29048,B-5088-2-44-18,"ROLLER, BOTTOM",A122388,['A122388']
29615,E-5119-4-12,SEALING PAD SUPPORT,A128072,['A128072']
30174,B-5088-52-19,SHOCK ABSORBER CAP,A118966,['A118966']
30175,B-5088-52-20,SHOCK ABSORBER CAP,A118965,['A118965']
31635,B-9298-3-8,SPLIT HOLDDOWN SHORT BAR,A127893,['A127893']
32528,E-5119-4-1,STRIPPER,A116692,['A116692']
35553,E-5193-8-7,TRANSFER PLATE,A125924,['A125924']
35571,B-5193-8-15,TRANSFER YOKE,A128256,['A128256']
37577,B-10109-0-7-5,WHEEL RUBBER CAPPED ASY MOLE DRIVE WHEEL,A135015,['A135015']
37578,B-10109-0-7-4,WHEEL RUBBER CAPPED ASY MOLE DRIVE WHEEL,A135016,['A135016']
