drawing_id,drawing_number,drawing_name,spare_part_number,parsed_part_numbers
3292,K-09392-2,AUTOLOAD ASSEMBLY MISCELLANEOUS DETAILS,A122745,['A122745']
3505,B-5206-72-200,BACK-UP DISC (BLUE & RED FILM),A121766,['A121766']
3520,B-5337-2-25,BAG BULLET,"A132893, A133222","['A132893', 'A133222']"
3525,H-5286-1-13,BAG CARRIER CLAMP BLOCK,A133404,['A133404']
3534,B-5286-3-12,"BAG CARRIER GUIDE TRACK SYSTEM V""RAIL(END)""",A121882,['A121882']
3536,B-5286-3-28,"BAG CARRIER GUIDE TRACK V""GUIDERAIL (MIDDLE)""",A121884,['A121884']
3548,B-5286-1-24,BAG CLAMP BLOCK FEED ROLLER SHOE,A122333,['A122333']
3554,B-5286-1-10,BAG CLAMP ROLLER PIN,A125209,['A125209']
3562,E-5286-1-26-2,BAG CLAMPING SYS CARRIER YOKE/MTG ROD FOR 50/100ML,A124960,['A124960']
3565,K-5286-1-5$2,BAG CLAMPING SYSTEM - FIXED CLAMP,A133531,['A133531']
3567,K-5286-1-6$2,BAG CLAMPING SYSTEM SWINGING CLAMP,A122647,['A122647']
3568,E-3490-2-29,BAG CLAMPING UNIT,A123855,['A123855']
3648,K-3112-99-131,BAG INFEED CUP ROTATE & GRP/SPRDR MOTOR CABLES ALT1 & ALT2,"A141166, A141167","['A141166', 'A141167']"
3671,E-5286-1-60,"BAG INVERTER V""GUIDERAIL""",A121881,['A121881']
3742,E-5365-10-19,BAG MAKER PRINT STATION PAD,A150236,['A150236']
3743,E-5325-6-36,BAG MAKER PRINT STATION PAD,A122477,['A122477']
3812,K-12197-7-8,BAG SHELL,A130490,['A130490']
4319,B-9104-17,BARB FITTING,A133091,['A133091']
4439,E-12197-1-18,BASE PLATE,A127796,['A127796']
4497,E-12197-1-15,"BASE PLATE, SINGLE 4:1",A127780,['A127780']
4498,E-12197-1-16,"BASE PLATE, STATIC",A127941,['A127941']
4527,B-6110-1,BATCH STERILIZATION DEPT CDLR CONVEYOR DRIVE ROLLER SUB-ASSY,"A100628, A136373","['A100628', 'A136373']"
4604,B-5338-27-9,BEARING,A122556,['A122556']
4607,B-5286-15-49,BEARING,A133589,['A133589']
4608,B-5169-27-166,BEARING  4-UP PRINTER UNWIND ADD-VANTAGE,A137190,['A137190']
4682,H-12197-6-1,BEARING BLOCK PLATE,A138479,['A138479']
4706,H-4198-1-19,"BEARING CARRIER 1 12 CONVEYOR""",A128621,['A128621']
4708,H-4198-2-12,"BEARING CARRIER 1 3 CONVEYOR""",A128602,['A128602']
4710,H-4198-1-20,"BEARING CARRIER 2 12 CONVEYOR""",A128620,['A128620']
4712,H-4198-2-13,"BEARING CARRIER 2 3 CONVEYOR""",A128601,['A128601']
4722,B-5206-2-150,BEARING FLANGE  PRINTER,A121769,['A121769']
4736,H-MD-5109-6-6,BEARING HOUSING PRESSURE VESSEL REAR,A105399,['A105399']
4742,E-MD-5109-6-7,BEARING INSERT PRESSURE VESSEL REAR,A105400,['A105400']
4804,H-MD-5109-3-9,BEARING RETAINER-WATERLOC,A110520,['A110520']
4805,H-MD-5109-3-10,BEARING RETAINER-WATERLOC (R.H.),A110517,['A110517']
4812,B-5347-16-11,BEARING SHOE,A129359,['A129359']
4818,E-MD-5109-3-11,BEARING SPACER-WATERLOC,A110521,['A110521']
4860,B-5272-18-13,BEARING TUNNEL WASHER,A116583,['A116583']
4952,H-5286-8-20,"BELT, STEEL, 2.4 SPACING X2 ""WIDE""",A121615,['A121615']
5052,K-MD-5109-3-2,BLADE ASSY ROTOR-WATERLOC,"A105413, A113436, A117094","['A105413', 'A113436', 'A117094']"
5060,B-11206-26-2,BLADE CLIP,A134692,['A134692']
5133,E-5286-4-8-13,"BLOCK, INDUCTIVE SENSOR MOUNTING",A132486,['A132486']
5144,B-12197-1-21,"BLOCK, SPRING LOWER",A127799,['A127799']
5153,B-12197-6-3,"BLOW ""BAG OPENER""",A138480,['A138480']
5168,B-5206-72-152,BLUE FILM SHAFT,A121087,['A121087']
5179,A-5250-2-12,BODY,A126662,['A126662']
5214,B-MD-5109-3-15,BOLT RETAINING RING-WATERLOC,A110519,['A110519']
5215,A-5024-1-18,BOLT SOLVENT SEAL APPLICATOR,A107831,['A107831']
5272,B-5347-11-272,BOTTOM GRIPPER FINGER LH TRANSFER STATION,A128295,['A128295']
5273,B-5347-11-271,BOTTOM GRIPPER FINGER RH TRANSFER STATION,A128296,['A128296']
5410,B-4198-1-1-10,BRACE,A139035,['A139035']
5411,B-4198-1-1-11,BRACE,A139037,['A139037']
5412,B-4198-1-1-12,BRACE,A139038,['A139038']
5419,E-4198-1-1-13,BRACE,A139039,['A139039']
5593,B-8499-4-41,BRACKET MODIFICATION #128636,A128636,['A128636']
5691,B-12318,BRAKE PAD,A134408,['A134408']
5694,B-127494,BRAKE SHAFT COUPLING,A127494,['A127494']
5718,B-237178,BREAKER PLATE,A133692,['A133692']
5724,B-5088-27-22,BRIDGE CONNECTION PLATE,A139823,['A139823']
5744,E-5088-4-111,"BUFFER PLATE PERIMETER STA. 2,3, & 5LT.",A126865,['A126865']
5745,E-5365-14-79,BUFFER PLATE PERIMETER STATION,A125761,['A125761']
5746,E-5088-4-33,BUFFER PLATE PERIMETER STATION (1 LITER ),A104159,['A104159']
5747,E-5088-4-79,BUFFER PLATE PERIMETER STATION (2 & 3 LTR),A108451,['A108451']
5748,E-5088-12-62,BUFFER PLATE PERIMETER STATION PART FILL (USED ON FAB 5 & FAB 16),A108452,['A108452']
5770,B-5286-8-15,BULLET (HOLDING PIN),A131510,['A131510']
5774,B-5347-2-572,BULLET BAR LIFT,A137140,['A137140']
5781,B-5286-8-104,BULLET SLEEVE,A129020,['A129020']
5793,B-6502-5-6,BURPER ARM   P/N 131933,A131933,['A131933']
5807,B-5337-10-18,BUSHING,A123249,['A123249']
5809,B-5337-2-16,BUSHING,A123370,['A123370']
5810,B-5337-22-10,BUSHING,A123241,['A123241']
5811,B-5337-22-8,BUSHING,A123242,['A123242']
5821,B-6502-10-07,BUSHING,A137051,['A137051']
5823,B-5347-15-30,BUSHING,A127912,['A127912']
5824,B-5250-4-29,BUSHING,A117690,['A117690']
5826,B-6502-4-12,BUSHING  P/N 131376,A131376,['A131376']
5828,B-5126-2-3-13,BUSHING (DRIVE SIDE UNIT)                         P/N 131489,A131489,['A131489']
5840,B-5286-1-29,"BUSHING FOR SPECIAL V""ROLLER",A132634,['A132634']
5852,B-5088-2-44-37,"BUSHING, .500 DIA. SHAFT",A120573,['A120573']
5853,B-5088-2-44-32,"BUSHING, .875 DIA. X .530, .375 DIA. SHAFT",A120578,['A120578']
5854,B-5088-2-44-34,"BUSHING, .875 DIA. X .530, .500 DIA. SHAFT",A120576,['A120576']
5855,B-5088-2-44-33,"BUSHING, .875 DIA. X .750, .375 DIA. SHAFT",A120577,['A120577']
5856,B-5088-2-44-35,"BUSHING, .875 DIA. X .750, .500 DIA. SHAFT",A120575,['A120575']
5857,B-5088-2-44-38,"BUSHING, .875 DIA. X .750, .500 DIA. SHAFT",A120572,['A120572']
5858,B-5088-2-44-36,"BUSHING, 1.0 DIA. X 1.350, .500 DIA. SHAFT",A120574,['A120574']
5970,B-12197-12-37$3,"CABLE, ROBOT HANDTOOL",A128376,['A128376']
5971,B-12197-12-37$4,"CABLE, ROBOT HANDTOOL",A128375,['A128375']
5981,B-5337-10-10,CAM,A123238,['A123238']
6006,B-2-19501,CAM FOLLOWER TRACK,A125817,['A125817']
6014,B-5347-15-23,CAM OPENER BAR EJECT DRIVE STATION,A135131,['A135131']
6016,B-5347-15-24,CAM OPENER SUPPORT BAR EJECT DRIVE STATION,A135130,['A135130']
6039,B-5413-04-02,CAMBOT ARM,A130708,['A130708']
6203,H-6396$12,CAP/PORT ASS'Y MACHINE DETAILS #6 & 7,A125560,['A125560']
6248,E-5088-114-84,CARRIAGE BLOCK (1 5/16 TUBE LENGTH),A129761,['A129761']
6254,B-5398-4-10,CARRIAGE BLOCK FILL PORT FEEDER STA. #2,A126866,['A126866']
6314,K-5109-17-2,CARRIER DOOR ASSEMBLY,A108234,['A108234']
6315,B-5109-17-3-2,CARRIER MOUNTING CHANNEL,A111415,['A111415']
6324,E-11221-4,CARTON LIFTER SECTION,AA127445,['AA127445']
6325,B-11221-5,CARTON LIFTER SECTION,AA127716,['AA127716']
6326,E-11221-6,CARTON LIFTER SECTION,AA127718,['AA127718']
6355,B-BF15-07-71,CATCH,A136890,['A136890']
6383,B-5109-15-1-16,CATCHER,A133857,['A133857']
6400,B-5109-17-4-4,CENTER BODY (NOTCH) HINGE PLATE,A121068,['A121068']
6401,B-5109-17-4-2,CENTER BODY HINGE PLATE,A121067,['A121067']
6404,H-10117-2,CENTER DIE 500ML LIFECARE II,A142720,['A142720']
6405,H-5284-23-2,CENTER DIE-500ML CAPD 4 UP (PN 127436) (CSP),A127436,['A127436']
6406,H-5052-86-4,CENTER DIE-LIFECARE 2-PORT 500ML 10DEG.,A127439,['A127439']
6407,H-5284-15-4,CENTER DIE-ONE LITER 4 UP (CSP) (PLEGISOL) (PN 127432),A127432,['A127432']
6408,H-5284-14-4,CENTER DIE-ONE LITER HEAVY DEXTROSE (CSP),A127429,['A127429']
6417,E-5169-33-5,CENTER KNIFE DIE  100ML  P.F. (CSP),A121462,['A121462']
6418,B-5293-5-3,CENTER KNIFE DIE (CSP),A121238,['A121238']
6419,B-5088-296-3,CENTER KNIFE DIE (CSP),A120537,['A120537']
6420,H-5088-305-5,CENTER KNIFE DIE 2 LITER (CSP),A122205,['A122205']
6421,H-5088-304-5,CENTER KNIFE DIE 3 LITER (CSP),A122197,['A122197']
6422,E-5169-31-5,CENTER KNIFE DIE 50ML P/F (CSP),A121454,['A121454']
6425,E-6193-1-12,CENTER PIN,"A141705, A141706, A141707, A141708, A141709","['A141705', 'A141706', 'A141707', 'A141708', 'A141709']"
6443,E-5214-1-24-1,CENTER SHAFT,A136458,['A136458']
6444,B-5088-28-26,CENTER SPACER ASSY,A126754,['A126754']
6452,B-5052-95-7,"CENTER, LOWER KNIFE DIE (CSP)",A120541,['A120541']
6484,R-MD-5109-05-21,CHAIN ADVANCE TAKE-UP ASS'Y.,A116430,['A116430']
6520,B-MD-5109-6-40,CHAIN GUIDE ROLLER,"A100868, A116748","['A100868', 'A116748']"
6521,H-MD-5109-6-37,CHAIN GUIDE ROLLER ASSY,A100972,['A100972']
6523,H-MD-5109-6-38,CHAIN GUIDE TOP PLATE,A112562,['A112562']
6524,B-5109-8-1-18,CHAIN MOUNTING PLATE,A116200,['A116200']
6555,B-11416-2,CHEMICAL INDICATOR HOLDER-NARROW TOP,A141801,['A141801']
6556,B-11416-1,CHEMICAL INDICATOR HOLDER-WIDE TOP,A141802,['A141802']
6661,B-3490-2-29-5,CLAMP,A124072,['A124072']
6699,81M-0680,"CLAMP ARM ASSY MK'DDS-CA-L1&DS-CA-L2""""","A110475, A114076, A114077","['A110475', 'A114076', 'A114077']"
6723,B-17197,CLAMP BAR,A125813,['A125813']
6778,B-BF15-07-68,CLAMP FINGER,A136886,['A136886']
6790,B-BF15-07-69,CLAMP FINGER MOUNT,A136889,['A136889']
6791,B-BF15-07-70,CLAMP FINGER MOUNT,A136894,['A136894']
6809,A-15424,CLAMP JAW         (STATION #8),A122074,['A122074']
6811,E-5337-10-4,CLAMP L.H.,A123547,['A123547']
6850,E-5337-10-3,CLAMP R.H.,A123546,['A123546']
6863,H-5347-16-18,CLAMP STATIONARY MACHINING DRAWING,A127423,['A127423']
6872,A-2-12907,CLAMP STRIP,A125812,['A125812']
6877,B-2-20234,CLAMP STRIP,A125822,['A125822']
6886,A-12049,CLAMP STRIP,A121600,['A121600']
6918,B-5347-2-406,CLAMP TRACK (CLOSE),A135040,['A135040']
6919,B-5347-2-425,CLAMP TRACK (CLOSE),A130743,['A130743']
6920,B-5347-2-405,CLAMP TRACK (OPEN),A133651,['A133651']
6944,B-17307,CLAMPING BAR,A125814,['A125814']
7011,B-15486,CLAW,A124605,['A124605']
7016,B-6193-7-30,"CLAWS (USED ON ACS50100, ACS50200, & ACS50300)",A121313,['A121313']
7047,E-5286-8-103,CLEAT,A131449,['A131449']
7097,H-5284-50-4,CNTR DIE-1 LTR 2 PRT DWN/4 UP (PRESSURE CUFFABLE) (CSP),A127424,['A127424']
7125,E-5052-10-4,CODE STAMP 250 ML L.C. 2 (CSP),"A121055, A121057","['A121055', 'A121057']"
7161,B-5088-28-20,COLLAR (SPACER),A129316,['A129316']
7162,B-12118,COLLAR CLAMP ARM LIMIT,A128276,['A128276']
7164,E-5347-16-221,COLLET,A131448,['A131448']
7167,H-3490-2A-9,COLPITT #1 SLIDING PLATE,A125418,['A125418']
7190,B-3490-1-12,COLPITT CENTERING UNIT CENTERING BUSHING. COLPITT STATION #8,A122335,['A122335']
7191,B-3490-1-2,COLPITT CENTERING UNIT SHOT PIN. COLPITT STATION #8,A122336,['A122336']
7193,B-6193-20-5-2,COLPITT DIE STATION 4,A141767,['A141767']
7195,B-3490-1-5,COLPITT INDEX TABLE BUSHING RETAINER CLIP.,A121715,['A121715']
7467,B-5337-7-15,CONDUCTOR CONTACT,A123209,['A123209']
7469,B-5337-7-13,CONDUCTOR STAND - OFF,A123248,['A123248']
7552,B-5347-8-12,CONNECTING LINK,A127986,['A127986']
7623,B-17195,CONNECTION PIECE,A125809,['A125809']
7726,B-17196,CONTACT ANGLE,A125808,['A125808']
7740,E-2-17306,CONTACT HOLDER,A125804,['A125804']
7770,E-2-20276,CONTACT STRIP,A125807,['A125807']
7771,A-12048,CONTACT STRIP,"A121609, A121713","['A121609', 'A121713']"
7773,E-16810,CONTACT STRIP,A121596,['A121596']
7775,B-16317,CONTACT STRIP (FLAP) (16317),A121607,['A121607']
7781,E-3490-15C-7,CONTACT STRIP. COLPITT STATION #7,A121595,['A121595']
7815,B-5109-8-1-20,CONTINUOUS STERILIZER WEDGE CARRIER RETAINER PIN,A133693,['A133693']
7819,H-5052-54-19$1,"CONTINUOUS TEAR INSERT - SHORT 1/2,1,2,& 3 LITER",A141504,['A141504']
7820,H-5052-54-18$2,"CONTINUOUS TEAR INSERT- 1/2,1,2,&3 LITER (CSP) (RIGHT SIDE)",A116587,['A116587']
7821,H-5052-54-18$1,"CONTINUOUS TEAR INSERT- 1/2,1,2,&3 LITER(CSP)(LEFT SIDE)",A116588,['A116588']
7822,H-5052-54-19$2,"CONTINUOUS TEAR INSERT SHORT 1/2, 1, 2,& 3 LITER",A141505,['A141505']
8052,B-6194,CONVEYOR BUSHING,A124015,['A124015']
8373,B-1213,CORE CHUCK INNER SLEEVE MODIFICATIONS,A139334,['A139334']
8383,H-5088-216-8$1,CORNER DIE 1/2 & 1L LIFECARE LEFT SHOWN (CSP),A122511,['A122511']
8384,H-5088-216-8$2,CORNER DIE 1/2 & 1L LIFECARE RIGHT SHOWN (CSP),A122510,['A122510']
8444,B-5335-6-16,COUPLING,A122737,['A122737']
8715,B-5408-11-72,COXIAL CABLE 1 KW 65 MHZ,A129009,['A129009']
8785,E-5226-2-6X&Y,"CR3 MANDREL SEALER, ONE PORT MANDREL DIE (CSP)",A128689,['A128689']
8786,B-5408-11-74,CR-3 MANDREL STRIPPER THREADED INSERT,A128971,['A128971']
8807,H-11106-11$39,CR3 TTP SYSTEM BAG PLATE,A135323,['A135323']
8929,H-11106-11$01,CR3 TTP SYSTEM PUNCH,A136788,['A136788']
9077,H-4198-1-1-9,CROSS SUPPORT,A139015,['A139015']
9086,E-12197-9-15,CROSSBAR,A138475,['A138475']
9110,E-12197-9-38,CUP HANGER TRANSPORT ASM.,A138474,['A138474']
9113,E-12197-6-5,CUP PLATE,A138483,['A138483']
9119,B-7193-4,CURTAIN ROD BRAKE CLAMP,A119742,['A119742']
9131,B-5408-10-24,CUSHION PLATE,A129266,['A129266']
9570,B-12197-6-6,CYLINDER MOUNT BLOCK,A138484,['A138484']
9792,B-5325-10-5,DATE CODE CLAMP,A130215,['A130215']
9798,A-5088-83-21,DC KILOVOLTS METER FACE 15KW PLATE VOLTAGE,A123670,['A123670']
9815,B-MD-7117,DEFLATOR FOAM PAD SET,A142461,['A142461']
9840,B-5126-2-3-20,DELRIN BEARING                                    P/N 131490,A131490,['A131490']
9841,K-5347-4-43-2,DELRIN BUSHING,A134888,['A134888']
9842,B-5286-1-38,DELRIN BUSHING,A123434,['A123434']
9855,E-4198-2-21,DELRIN SUPPORT BARS,"A128603, A128604","['A128603', 'A128604']"
9856,H-4198-1-4,DELRIN SUPPORT BARS,"A128613, A128614, A128615","['A128613', 'A128614', 'A128615']"
9857,H-4198-1-5,DELRIN SUPPORT BARS,"A128616, A127617, A128618, A128619","['A128616', 'A127617', 'A128618', 'A128619']"
9858,E-5198-2-21,DELRIN SUPPORT BARS,"A128589, A128590","['A128589', 'A128590']"
9859,H-5198-1-4,DELRIN SUPPORT BARS,"A128588, A128599, A128600","['A128588', 'A128599', 'A128600']"
9860,H-5198-1-5,DELRIN SUPPORT BARS,"A128595, A128596, A128597, A128598","['A128595', 'A128596', 'A128597', 'A128598']"
9894,E-9197-1,DESTACKER SUPPORT ARM BENT ROD,A126630,['A126630']
9895,B-9197-2,DESTACKER SUPPORT ARM BLOCK,A126633,['A126633']
9896,B-9197-4,DESTACKER SUPPORT ARM LONG ROD,A126631,['A126631']
9897,B-9197-3,DESTACKER SUPPORT ARM SHORT ROD,A126632,['A126632']
9966,H-MD-5109-7-5,DETAILS CARRIER CLOSING MECHANISM,"A110742, A110743, A110744, A110751","['A110742', 'A110743', 'A110744', 'A110751']"
9967,K-MD-5109-7-4,DETAILS CARRIER CLOSING MECHANISM,"A110745, A110746, A116750","['A110745', 'A110746', 'A116750']"
9968,K-MD-5109-7-8,DETAILS CARRIER CLOSING MECHANISM,A105410,['A105410']
9969,K-MD-5109-7-2,DETAILS CARRIER OPENING MECHANISM,"A110747, A110748, A110749, A110750, A110832, A110833, A110834","['A110747', 'A110748', 'A110749', 'A110750', 'A110832', 'A110833', 'A110834']"
10074,B-5358-9-17,DIAPHAGM BAG MAKER HOT STAMP PRINTER DOVETAIL CLAMP,A129144,['A129144']
10098,E-5337-7-16-1,DIE BLOCK (CSP),A123247,['A123247']
10106,B-5335-6-13,DIE CLAMP BLOCK,A122739,['A122739']
10114,B-5325-10-9,DIE CLAMP BLOCK INSERT,A122738,['A122738']
10115,B-5335-6-14,DIE CLAMP BLOCK STUD,A122295,['A122295']
10116,B-5325-10-10,DIE CLAMP BLOCK STUD,A122629,['A122629']
10132,B-5326-15-22,DIE FLEX LEAD,A123836,['A123836']
10133,B-5206-41-14,DIE FLEX LEAD BAGMAKER,A117829,['A117829']
10141,E-5052-86-3,"DIE INSERT, LIFE CARE 2-PORT, 500ML 10 DEG. 3-UP (CSP)","A119172, A119173","['A119172', 'A119173']"
10148,E-5398-3-1,DIE MOUNTING BLOCK,A126867,['A126867']
10150,E-5206-13-21,DIE MOUNTING BLOCK (LOWER)   STA.2,A124418,['A124418']
10151,E-5206-13-20,DIE MOUNTING BLOCK (UPPER)   STA.2,A124419,['A124419']
10154,E-5206-11-19,DIE MOUNTING BLOCK FILL PORT DIE SET,A124420,['A124420']
10159,E-5088-27-4,DIE MOUNTING FILL PORT DIE SET,A100093,['A100093']
10178,E-5325-10-1,DIE MOUNTING PLATE PART FILL,A126749,['A126749']
10201,E-5088-317-22,DIE STAMP (CSP),"A121060, A123661","['A121060', 'A123661']"
10202,B-5337-7-24,DIE STOP (CSP),A123210,['A123210']
10269,B-12197-5-27,DISPENCER (LEFT HAND) ALIGNMENT DECALS (BLUE),A139684,['A139684']
10270,B-12197-5-28,DISPENCER (LEFT HAND) ALIGNMENT DECALS (GREEN),A139685,['A139685']
10271,B-12197-5-26,DISPENCER (LEFT HAND) ALIGNMENT DECALS (RED),A139683,['A139683']
10272,B-12197-5-30,DISPENCER (RIGHT HAND) ALIGNMENT DECALS (BLUE),A139687,['A139687']
