drawing_id,drawing_number,drawing_name,spare_part_number,parsed_part_numbers
64,E-5143-7-25,(T.P.O. FILLER TO FILL P.F. BAGS) BAG CLAMP FIXED JAW,A104671,['A104671']
66,B-2414-14,.063 SPACER FOR SHORT MANDREL TUBE RETAINER,A140588,['A140588']
67,B-2414-15,.125 SPACER FOR SHORT MANDREL TUBE RETAINER,A140589,['A140589']
119,K-5284-14-1-1,1 LITER DIE (CSP),A121808,['A121808']
120,K-5088-216-1-1,1 LITER DIE DETAIL LIFE CARE II (CSP),A115160,['A115160']
121,K-5088-216-1,1 LITER DIE DETAIL LIFE CARE II (IMPROVE MENISCUS SIZE),"A115615, A115616, A115617","['A115615', 'A115616', 'A115617']"
122,K-5284-50-1-1,"1 LITER DIE, 2 PORT DOWN PRESSURE CUFFABLE",A133543,['A133543']
123,K-5011-53-1,1 LTR. DIE POD 4-UP (CSP) (PN 121806),A121806,['A121806']
152,B-1199-46,1/5 PITCH 12 TOOTH PULLEY,A129430,['A129430']
155,H-5088-317-2,100 ML PART FILL FOR ECS CONTAINER (CSP),A123660,['A123660']
161,H-5088-216-22,1000ML CENTER DIE (CSP) (PN 121311),A121311,['A121311']
255,E-5219,12 TOOTH DRIVE GEAR,A143567,['A143567']
256,E-9104-1-1,12 TOOTH DRIVE GEAR,A133096,['A133096']
259,E-MD-9104-1,12 TOOTH DRIVE GEAR ASSEMBLY,A133088,['A133088']
261,E-9104-20,12 TOOTH IDLER GEAR,A133092,['A133092']
319,B-5335-6-7,1-LTR DIE CLAMP,A122740,['A122740']
328,K-5088-305-2,2 LITER PERIMETER DIE (CSP),A122208,['A122208']
393,K-T-229$2,"22,980 U.S. GALS. S.S. LIFECARE MIXING TANK DETAILS (SHT. 2)",A132597,['A132597']
404,E-9104-29,24 TOOTH DRIVE GEAR,A133099,['A133099']
405,E-9104-30,24 TOOTH GRIPPER MOUNTING FLANGE GEAR,A133100,['A133100']
407,E-9104-31,24 TOOTH IDLER GEAR,A133101,['A133101']
441,K-MD-5088-167,"250 M.L. DIE SET,LC.IIA BAGMAKER",A106635,['A106635']
443,B-5347-14-245,250 ML BAG EXTENSION ROLLER,A129924,['A129924']
444,E-5206-89-2,250 ML COLPITT PERIMETER DIE (CPS),A125904,['A125904']
453,E-5206-83-14,250ML COLPITT BAR SEAL - LEFT HAND (CSP),A137056,['A137056']
454,E-5206-83-8,250ML COLPITT BAR SEAL - RIGHT HAND (CSP),A137055,['A137055']
459,E-5206-83-3,250ML COLPITT TEAR SEAL DIE - LEFT HAND (CSP),A137047,['A137047']
460,E-5206-83-7,250ML COLPITT TEAR SEAL DIE - RIGHT HAND (CSP),A137046,['A137046']
461,E-5206-83-9,250ML COLPITT TEAR SEAL DIE END - LEFT HAND (CSP),A137048,['A137048']
462,E-5206-83-16,250ML COLPITT TEAR SEAL DIE END - RIGHT HAND (CSP),A137049,['A137049']
475,E-5214-1-22-1,250ML HANDTOOL,A136471,['A136471']
502,K-5088-296-2,"250ML W/O CENTER STRIP, PERIMETER DIE (CSP)",A120543,['A120543']
536,B-4113,3 INCH CORE ADAPTER FOR PVC SCHD 40 PIPE CORES,A115623,['A115623']
639,E-9104-22,36 TOOTH DRIVE GEAR,A133094,['A133094']
646,K-5088-304-19,3-LITER NO SCRAP-NON BLOCKING PERIMETER DIE (CSP),A122200,['A122200']
647,B-9104-2,3MM KEYSTOCK - MODIFIED,A133089,['A133089']
678,H-MD-4392,40 HP HOFFMAN BLOWER DRIVER & BLOWER SHAFT COUPLINGS,A122347,['A122347']
822,E-9104-21,48 TOOTH IDLER GEAR,A133093,['A133093']
867,E-11289,4M REDUCER MOUNTING BLOCK 4M HARMONIC RETROFIT,A120816,['A120816']
868,B-5214-1-24-3,4MM PIN,A136459,['A136459']
883,E-5214-1-23-1,5 IN 1 HAND TOOL,A136453,['A136453']
891,H-5088-319-2,50 ML PART FILL FOR ECS CONTAINER (CSP),A123659,['A123659']
900,E-5088-230-29,500 ML 10 DEGREE DIE INSERT LIFE CARE II,"A123052, A127227","['A123052', 'A127227']"
909,H-5088-230-27,500ML CENTER DIE,A121312,['A121312']
911,H-5052-86-1,500ML DIE LIFE-CARE 2-PORT (CSP),A121807,['A121807']
916,H-5088-230-28,500ML END DIE,"A121307, A121308","['A121307', 'A121308']"
940,H-5169-31-2,50ML PART FILL HIGH EXTRUSION CORNER DIE POD (CSP),A121451,['A121451']
952,B-5214-1-24-4,5MM DOWEL PIN,A136460,['A136460']
979,C-9912-1-B,"8 DIAMETERRUBBERROLLER""",A114654,['A114654']
1253,B-5088-284-16,ACTUATOR (SHOCK),A118875,['A118875']
1269,B-5286-1-11,ACTUATOR ROLLER,A123181,['A123181']
1318,B-5288-21-5,ADAPTERS-SUCTION CUPS,A121361,['A121361']
1319,B-5288-23-5,ADAPTERS-SUCTION CUPS,A120355,['A120355']
1331,B-12197-1-24,ADAPTOR PLATE ROBOT QUILL,A127791,['A127791']
1361,H-5335-39-2,ADDPORT COOLING PLATE 1 LTR.,A130627,['A130627']
1362,H-5193-9-02,ADDPORT COOLING PLATE 2 & 3 LITER NO SCRAP,A122209,['A122209']
1363,E-5088-177-1,ADD-PORT DIE - SINGLE MOTION ADD-PORT (CSP),A104160,['A104160']
1413,B-5206-83-19,ADDVANTAGE 4-UP 250 ML WASTE END KNIFE,A138490,['A138490']
1414,K-5293-5-2,ADDVANTAGE 50ML PERIMETER DIE (CSP),A121237,['A121237']
1571,H-5347-16-6,ADD-VANTAGE WASHER FILLER BAG CARRIER CLAMP BLOCK,A129572,['A129572']
1628,B-5286-1-20,ADD-VANTAGE WASHER-FILLER SPACER,A133409,['A133409']
1703,B-2102-4-16,"ADD-VNTG. BAG SEP. GRIPPER FINGER, TOP, PICK-UP",A131042,['A131042']
1749,B-2102-3-9,ADD-VNTG. BAG SEP. SPLIT HOLDDOWN LONG BAR,"A131053, A131174","['A131053', 'A131174']"
1750,B-2102-3-8,ADD-VNTG. BAG SEP. SPLIT HOLDDOWN SHORT BAR,"A131054, A131173","['A131054', 'A131173']"
1790,B-2102-4-15,"ADD-VTG. BAG SEP. GRIPPER FINGER, BOTTOM, PICK-UP",A131043,['A131043']
1809,B-5052-15-14,ADJ. BOLT PERIMETER STATION LIFE CARE 2,A104157,['A104157']
1816,B-5088-49-61,ADJ. ROD ROTATING CAPACITOR-BAGMAKER,A115764,['A115764']
1856,B-5347-17-427,ADJUSTABLE SLIDE STOP,A143539,['A143539']
1902,A-2-16713,ADJUSTING RING,A124622,['A124622']
1939,B-6589-1,ADJUSTMENT HOUSING,A129605,['A129605']
1949,B-6589-3,ADJUSTMENT PLATE,A129607,['A129607']
1958,B-6589-9,ADJUSTMENT SCREW,A129613,['A129613']
2015,B-7302-8-4,ADV PRE PUNCH/INDEX STR REM CLAMP FINGER LEFT,"A131170, A131172","['A131170', 'A131172']"
2016,B-7302-8-6,ADV PRE PUNCH/INDEX STR REM CLAMP FINGER RT,A131171,['A131171']
2132,B-4910-1,AIR ASSIST TUBE,A129807,['A129807']
2252,B-5286-6-117,AIR NOZZLE ASS'Y,A121736,['A121736']
2253,B-5286-6-103,AIR NOZZLE BODY,A124616,['A124616']
2462,B-5088-28-19,ANGLE BRACKET,A106643,['A106643']
2490,B-5206-4-10,ANGLE E-Z ADD MANDREL & BLOCK ASS'Y.,A118083,['A118083']
2582,B-5143-7-42,ANTI-ROT. BAR,A111467,['A111467']
2583,B-5143-7-46,ANTI-ROT. BAR,A111466,['A111466']
2586,A-5007-1-96,ANTI-ROTATION BUSHING,A107588,['A107588']
3095,E-5088-304-21,AUSTIN INSTER (HANGER):45 DEGREE WINGS 2L&3L IRRIGATION(CSP),A138759,['A138759']
3259,K-5209-3-1$2,AUTOCLAVE WATER DISTRIBUTION PAN,"A113098, A113099","['A113098', 'A113099']"
