part_id,part_number,part_name
1,Test101010,Robert C Lemons
2,A101576,FILTER TUBE 10/BOX
3,A103406,VALVE FLOW CONTROL 1/4
4,A104316,FILTER AIR COMPRESSOR
5,A104317,FILTER AIR COMPRESSOR
6,A105512,GAUGE PRESSURE BACKMOUNT 0-160 PSI
7,A110304,BEARING BALL
8,A115295,FUSE 200 AMP
9,A115934,FILTER OIL ELEMENT (2/KIT)
10,A115935,O-RING OIL FILTER
11,A115936,FILTER OIL MIST ELEMENT
12,A115937,O-RING INLET 1ST STAGE
13,A115938,GASKET INLET COVER 2ND STAGE
14,A115939,O-RING INLET 2ND STAGE
15,A115940,GASKET INLET COVER 3RD STAGE
16,A115941,O-RING INLET 3RD STAGE
17,A115942,SHIM DIFFUSER 2ND STAGE
18,A115945,GASKET #1 HEADER INTER- COOLER
19,A115946,GASKET #2 HEADER INTER- COOLER
20,A115947,GASKET FRONT TUBE SHEET
21,A115948,GASKET REAR HEADER
22,A115949,O-RING AIR & OIL SEAL
23,A115950,GASKET GUIDE VANE
24,A115951,GASKET KIT OIL COOLER
25,A115952,SHIM DIFFUSER 1ST STAGE
26,A115953,O-RING PINION BEARING
27,A115954,SHIM INLET 3RD STAGE
28,A115955,SHIM DIFFUSER 3RD STAGE
29,A115956,INTERCOOLE CORE  AND TUBESHEETS
30,A115957,KIT REBUILD VALVE
31,A115958,MOTOR ACTUATOR
32,A115974,FUSE 5 AMP AXIAL LEADS
33,A115980,SLEEVE BEARING BULL GEAR
34,A115981,SLEEVE BEARING BULL GEAR
35,A115982,SEAL OIL
36,A115983,SEAL AIR
37,A115984,BEARING ASSEMBLY 1ST STAGE
38,A115985,BEARING ASSEMBLY 2ND STAGE
39,A115986,BEARING ASSEMBLY 3RD STAGE
40,A115987,BEARING ASSEMBLY 4TH STAGE
41,A115988,BEARING INNER
42,A115991,GEAR BULL
43,A120404,"VALVE BYPASS 1-1/2"" 110-120V"
44,A121319,GASKET SPLIT LINE KIT
45,A122526,COOLER OIL
46,A123428,ACTUATOR ARM W/MOTOR
47,A124505,MANIFOLD TRANSMITTR MOUNTING
48,A124506,TRANSMITTR TEMPERATUR SMART
49,A124515,GAUGE PRESSURE SMART TRANSMITTR
50,A124517,SENSOR LEVEL 0-20 IN.
51,A126327,SEAL OIL 2ND STAGE
52,A126329,SEAL OIL 2ND STAGE
53,A128236,"KIT INTERCOOLR ""Y"" SEALS"
54,A129686,TRANSMITER DEWPOINT TEMPERATUR E
55,A129909,TRANSMITTR DEWPOINT
56,A129910,METER MASS FLOW ELEMENT INSERTION
57,A129911,ORIFICE DEWPOINT TRANSMITTE R
58,A133542,OIL
59,A136344,TRAP CONDENSATE COMPRESSED AIR
60,A136370,MOTOR 450H509USS 3600 RPM
61,A140091,"VALVE CHECK 3"""
62,A140608,"GASKET 3"" TYPE E VICTAULIC"
63,A121858,TRANSDUCER BEARING OIL PRESSURE
64,A123310,FILTER OIL DUPLEX ELEMENT
65,A124929,LEAD PROBE VIBRATION
66,A124930,PROBE VIBRATION
67,A128356,COUPLING RIGID COMPRESSOR MAIN DRIVE
68,A128357,COUPLING FLEXIBLE ASSY. MAIN DRIVE
69,A128965,RELAY OPTO COUPLER 240VAC
70,A138959,MODULE OUTPUT AC
71,A110592,"VALVE CHECK B-319 3/4"" 125 PSI"
72,A110593,"VALVE CHECK 1"" BRZ 125#"
73,A126328,SEAL OIL 1ST & 3RD STAGES
74,A128140,BAFFLE INTER COOLER
75,A128560,"SEAL ""Y"" TA18U-TUBE I/C KIT"
76,A137423,O-RING FILTER OIL
77,A138536,TRANSFORME CURRENT
78,A125429,LUBRICANT SRI GREASE 2
